0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,y
8,26,5,3,3,56034,2156,30000,1,6234,30000,92182,3546,11000,1,3586,11000,19,42,12,9,30,5,3,5,2,18,2,30,28,19,12,22,10,128,76,151,75,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,13,2,22,20,27,1,53,52,786,164,1322,1158,2,85,1,1,2,50364,593,19941,12,2147,19929,769397,9052,33725,359,6335,33367,42,42,0,5,42,4,3,5,2,14,1,31,30,16,9,22,13,104,61,152,91,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,13,7,22,15,27,2,58,56,774,444,1374,930,2017,5,26,140,1,49,0
5,14,5,3,4,20402,1458,6892,30,1919,6862,13292,950,7022,1,1910,7021,13,36,0,11,36,4,3,5,2,20,4,31,27,14,11,22,11,93,69,151,82,3,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,16,7,23,16,24,0,57,57,945,460,1380,920,3,10,3,3,3,20160,2016,8500,100,2695,8400,44475,4448,13913,881,5482,13033,6,6,6,0,0,4,3,5,2,22,10,31,21,15,11,22,11,97,70,151,81,4,1,6,5,1,0,1,1,0,0,0,0,1,0,1,1,16,12,18,6,19,1,39,38,961,757,1101,344,2018,2,9,57,1,32,0
2,11,2,2,2,148400,13491,30000,400,9696,29600,24621,2239,20094,94,5964,20000,1,9,0,3,9,4,3,5,2,19,8,28,20,16,10,21,11,104,68,143,75,4,1,6,5,1,0,1,1,0,0,0,0,0,0,0,0,4,2,15,13,21,11,40,29,212,131,940,809,3,12,3,1,1,148300,12359,27000,2000,8365,25000,170613,14218,30094,3094,8779,27000,9,9,9,0,0,4,3,5,2,17,7,27,20,16,10,21,11,105,67,140,73,3,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,16,6,22,16,35,4,58,54,975,418,1375,957,2018,6,1,253,1,38,0
26,46,16,4,4,286782,6235,65000,39,10750,64962,454493,9881,60001,1,14448,60000,26,60,0,26,60,5,3,5,2,19,3,25,22,18,10,21,11,118,65,144,79,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,12,3,18,15,26,0,57,57,735,230,1097,867,10,22,8,2,2,286662,13031,80000,1,19430,79999,431931,19634,80001,3,25561,79998,16,45,6,13,39,4,3,5,2,15,3,25,22,16,10,21,11,102,65,144,79,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,13,5,23,18,34,2,59,57,787,302,1430,1128,2018,7,28,74,0,40,1
4,19,3,2,3,874028,46002,200000,1,81803,199999,231314,12175,200005,4,45634,200001,3,9,0,5,9,4,3,5,2,14,3,30,27,16,10,22,12,105,63,151,88,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,14,3,21,18,41,14,56,42,824,194,1301,1107,4,13,4,2,2,254624,19587,200000,400,54385,199600,260151,20012,200013,404,54278,199610,9,9,0,3,9,5,3,5,2,20,14,30,16,17,11,22,11,115,75,151,76,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,15,10,20,10,28,2,53,51,905,602,1248,646,2012,10,18,105,1,58,0
21,91,16,5,10,408377,4488,20168,7,4439,20161,250072,2749,16179,11,3443,16169,13,45,0,14,45,4,3,5,2,18,2,31,29,17,10,22,12,108,64,148,84,4,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,15,4,21,17,27,0,59,59,892,281,1314,1033,10,76,8,6,7,406700,5352,28000,100,5128,27900,652364,8584,29041,462,6456,28579,32,45,6,9,39,4,3,5,2,19,2,31,29,16,10,22,12,108,67,147,80,4,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,17,9,21,12,26,0,59,59,993,548,1268,720,2014,5,9,201,1,35,0
3,21,3,2,2,41893,1995,15000,160,3058,14841,52381,2495,7188,0,2142,7188,1,9,0,3,9,5,3,5,2,21,10,30,20,19,12,22,10,125,80,151,71,6,4,6,2,1,0,1,1,0,0,0,0,0,0,0,0,3,2,15,13,18,8,29,21,195,128,914,786,3,6,2,3,3,41893,6983,15000,1033,4684,13968,41893,6983,15000,1033,4684,13967,27,30,9,9,21,5,3,5,2,18,10,26,16,18,11,22,11,118,75,147,72,4,1,6,5,1,0,1,1,0,0,0,0,0,0,0,0,14,9,17,8,40,14,53,39,880,569,1067,498,2019,11,25,201,0,34,0
14,39,10,3,4,278881,7151,51690,4,12952,51687,2525555,64758,106651,3,40667,106649,10,45,0,14,45,3,3,3,0,22,21,22,1,12,12,12,0,82,81,82,1,6,5,6,1,1,0,1,1,0,0,0,0,0,0,0,0,11,10,19,9,39,5,57,52,694,613,1159,546,25,28,11,3,3,278890,9961,50000,10,14408,49990,1686342,60227,114344,11,37889,114334,12,33,6,8,27,3,3,3,0,22,21,22,1,12,12,12,0,82,81,82,1,6,5,6,1,1,0,1,1,0,0,0,0,0,0,0,0,11,10,19,9,30,1,53,52,681,612,1155,543,2015,4,19,127,0,24,1
13,26,5,4,5,28520,1097,10001,1,2423,10001,71481,2750,17001,0,4404,17001,15,33,6,7,27,4,3,5,2,22,2,30,28,14,11,18,7,90,74,123,49,3,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,13,6,23,17,26,2,59,57,806,382,1383,1001,2,2,2,1,1,22001,11001,22000,1,15557,22000,22002,11001,22001,1,15557,22000,17,24,9,11,15,4,4,4,0,14,3,25,22,16,14,17,3,105,94,116,22,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16,1,38,29,46,17,968,946,989,43,2019,12,30,5,1,43,0
24,156,12,5,8,90069,578,22819,1,2398,22818,985551,6318,24964,221,5445,24743,21,63,0,12,63,4,3,5,2,14,1,31,30,16,9,22,13,101,61,152,91,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,2,23,21,24,0,59,59,837,160,1383,1223,4,10,4,3,4,91669,9167,34745,170,10552,34575,132485,13249,35033,2209,10597,32824,26,45,6,18,39,5,3,5,2,9,1,18,17,16,10,20,10,106,63,138,75,3,1,6,5,1,0,1,1,1,0,1,1,0,0,0,0,12,7,19,12,33,0,59,59,723,453,1185,732,2015,5,17,134,0,31,0
3,14,5,3,3,19435,1389,8140,1,2807,8139,8694,621,7588,2,2011,7587,33,45,12,14,33,5,3,5,2,24,14,31,17,20,14,22,8,132,91,152,61,4,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,13,0,22,22,31,2,55,53,781,11,1360,1349,4,8,4,3,3,20021,2503,8240,50,3584,8190,20268,2534,8242,52,3574,8191,35,39,33,3,6,5,3,5,2,25,14,31,17,20,14,22,8,134,91,152,61,4,1,6,5,1,0,1,1,0,0,0,0,1,0,1,1,16,0,22,22,29,4,58,54,944,10,1359,1349,2019,12,7,169,0,33,0
44,161,17,6,7,553719,3440,121574,-700,15008,122274,6994893,43447,223292,107,55590,223185,19,78,0,13,78,5,4,5,1,14,1,30,29,18,15,22,7,115,97,147,50,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,28,0,59,59,822,8,1426,1418,16,23,10,5,6,554482,24108,168330,9,42423,168321,1686009,73305,254202,803,90320,253399,12,69,0,16,69,5,4,5,1,19,2,30,28,17,15,22,7,113,97,147,50,3,0,5,5,0,0,0,0,0,0,0,0,1,0,1,1,11,0,21,21,27,0,59,59,684,11,1285,1274,2018,1,21,1,1,31,1
9,29,6,4,4,36217,1249,10000,1,2757,10000,73026,2519,26001,1,5853,26001,26,45,6,16,39,4,3,5,2,11,3,28,25,15,10,19,9,100,63,129,66,3,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,13,0,22,22,30,5,58,53,764,16,1378,1362,5,14,5,3,3,36217,2587,36000,4,9617,35997,36223,2588,36001,4,9617,35998,24,39,9,13,30,4,3,5,2,9,3,20,17,13,10,19,9,82,63,129,66,2,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,10,0,22,22,32,0,56,56,594,15,1360,1345,2019,3,17,103,0,19,1
4,9,4,3,3,36052,4006,22567,1,7303,22566,29394,3266,18007,0,6689,18007,17,24,0,10,24,5,5,5,0,2,1,5,4,19,18,19,1,123,122,126,4,5,1,5,4,0,0,0,0,1,0,1,1,0,0,0,0,13,8,16,8,43,29,52,23,816,530,995,465,8,12,8,3,3,36052,3005,10000,1,3676,9999,108807,9068,23387,1,9649,23386,19,33,6,13,27,5,5,5,0,2,1,5,4,19,18,19,1,123,122,126,4,5,1,5,4,0,0,0,0,1,0,1,1,0,0,0,0,14,8,15,7,42,29,56,27,842,529,956,427,2020,5,1,47,0,27,1
6,17,5,4,5,433196,25483,300000,1,71744,299999,309780,18223,103899,126,26686,103774,13,45,0,16,45,4,3,5,2,18,7,21,14,15,10,21,11,100,67,142,75,3,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,8,2,16,14,33,4,58,54,488,143,985,842,3,5,3,1,1,425000,85000,240000,3000,105471,237000,538170,107634,343899,5895,145478,338004,9,9,9,0,0,4,3,5,2,18,15,22,7,15,12,21,9,97,76,140,64,2,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,12,8,16,8,24,3,53,50,708,483,964,481,2019,2,10,98,0,36,1
5,13,5,4,4,73065,5621,40000,28,11608,39972,30389,2338,11013,1,3789,11013,10,24,6,7,18,5,3,5,2,9,7,16,9,17,10,19,9,109,67,129,62,5,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,17,15,32,0,54,54,840,130,1021,891,4,8,2,2,2,73060,9133,30000,60,13285,29940,84219,10528,40013,61,15943,39952,21,33,6,14,27,5,3,5,2,11,5,25,20,17,10,19,9,109,65,129,64,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,14,10,17,7,27,0,56,56,845,647,1020,373,2013,2,3,127,1,30,1
13,247,5,3,3,31692,129,4000,1,309,3999,875516,3545,10713,3,3093,10710,38,55,9,13,46,5,3,5,2,20,1,31,30,18,12,22,10,122,81,152,71,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,28,0,59,59,833,1,1437,1436,3,85,4,3,3,31684,373,7900,10,1153,7891,283207,3332,14713,37,2963,14676,39,45,0,15,45,5,3,5,2,19,1,31,30,19,12,22,10,125,81,150,69,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,28,0,59,59,868,4,1421,1417,2012,3,24,177,1,37,0
8,31,4,2,5,58187,1877,10400,1,2286,10400,127915,4127,20390,3,6006,20387,17,45,0,20,45,4,3,4,1,11,1,31,30,15,9,15,6,93,61,99,38,3,1,6,5,1,0,1,1,1,0,1,1,1,0,1,1,14,0,22,22,28,3,57,54,812,8,1369,1361,21,36,9,4,4,59977,1667,10400,100,2166,10300,198935,5526,20440,103,5944,20337,16,33,6,12,27,4,3,4,1,11,2,31,29,15,11,15,4,95,70,100,30,3,1,5,4,0,0,0,0,0,0,0,0,1,0,1,1,13,0,22,22,30,1,53,52,801,4,1368,1364,2018,5,5,58,0,26,1
30,103,9,3,5,381447,3704,130000,2,13805,129998,434583,4220,20233,275,3335,19959,16,27,0,6,27,5,3,5,2,23,1,31,30,21,9,22,13,138,61,152,91,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,10,7,23,16,30,0,59,59,600,455,1401,946,6,27,4,3,3,378909,14034,128000,1000,23339,127000,558046,20669,130585,4585,23552,126000,37,45,9,16,36,5,3,5,2,17,1,27,26,17,11,22,11,113,71,148,77,4,1,6,5,1,0,1,1,1,0,1,1,0,0,0,0,14,7,21,14,29,0,59,59,858,468,1286,818,2012,3,24,31,0,63,0
42,147,5,4,5,23492,160,1680,1,347,1679,126361,860,3199,0,848,3199,16,63,0,10,63,5,3,5,2,17,2,30,28,18,11,21,10,116,75,144,69,3,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,14,0,23,23,30,0,59,59,865,32,1423,1391,6,28,4,4,5,23493,840,3221,1,984,3221,34076,1217,3222,20,1050,3203,32,42,0,8,42,5,3,5,2,14,1,29,28,17,11,21,10,110,75,143,68,4,1,6,5,1,0,1,1,1,0,1,1,0,0,0,0,16,0,23,23,23,2,59,57,951,7,1422,1415,2019,12,8,165,0,30,0
10,18,9,4,5,91914,5107,40000,23,9103,39978,6430384,357244,392905,310905,31431,82000,11,45,0,14,45,5,3,5,2,14,1,31,30,16,10,21,11,106,63,140,77,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,3,22,19,30,7,59,52,820,224,1359,1135,4,6,4,3,3,94049,15675,90000,23,36418,89978,2185558,364260,402905,312905,38285,90000,11,45,0,18,45,5,3,5,2,7,1,16,15,16,9,20,11,103,61,137,76,5,2,6,4,1,0,1,1,1,0,1,1,0,0,0,0,12,5,20,15,29,4,41,37,709,304,1238,934,2016,4,20,240,0,30,0
45,65,20,4,7,229576,3532,30150,1,5029,30150,793980,12216,45804,1,12011,45803,9,45,0,10,45,5,4,5,1,25,2,30,28,18,17,18,1,117,115,123,8,4,3,5,2,0,0,0,0,0,0,0,0,1,0,1,1,15,5,16,11,34,3,58,55,930,323,1009,686,20,24,10,3,4,244087,10171,45000,1,10753,45000,377693,15738,48306,2,15353,48304,15,33,0,12,33,5,4,5,1,27,12,30,18,18,17,20,3,119,115,133,18,4,1,6,5,1,0,1,1,0,0,0,0,1,0,1,1,15,8,18,10,30,1,59,58,897,538,1084,546,2018,4,1,34,0,33,1
17,22,12,3,3,21562,981,3980,-3980,2071,7960,30137,1370,4611,1,1407,4611,9,12,6,2,6,3,3,3,0,2,1,6,5,10,9,10,1,62,61,66,5,6,4,6,2,1,0,1,1,1,0,1,1,0,0,0,0,18,12,21,9,26,1,58,57,1060,777,1273,496,9,13,7,3,3,21578,1660,3333,1,1217,3332,31355,2412,4679,2,1704,4677,14,33,6,12,27,3,3,3,0,3,1,8,7,10,9,10,1,63,61,68,7,6,6,6,0,1,1,1,0,1,0,1,1,0,0,0,0,18,16,19,3,27,2,58,56,1057,996,1186,190,2017,3,11,185,0,22,1
8,54,6,3,5,26132,484,5000,1,1208,4999,139869,2591,13196,1,2389,13196,28,45,0,18,45,4,3,4,1,14,1,31,30,12,9,14,5,75,61,95,34,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,16,0,23,23,29,0,59,59,933,9,1432,1423,8,12,7,3,3,25953,2163,10587,1,3642,10586,48305,4026,18196,4,5125,18193,20,45,0,17,45,3,3,3,0,18,6,28,22,12,10,13,3,78,66,88,22,5,3,6,3,1,0,1,1,0,0,0,0,0,0,0,0,18,1,23,22,24,0,58,58,1084,80,1405,1325,2018,6,7,379,0,35,1
19,107,6,3,6,98822,924,39800,1,4031,39800,185494,1734,17001,1,2091,17001,17,45,0,14,45,4,3,4,1,13,1,31,30,12,9,16,7,77,61,104,43,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,35,1,59,58,874,9,1430,1421,9,32,7,3,5,98525,3079,29800,9,6134,29792,150674,4709,39808,18,7378,39790,23,45,0,14,45,4,3,4,1,13,2,28,26,12,10,17,7,78,62,113,51,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,14,0,23,23,32,0,59,59,818,4,1394,1390,2017,6,3,74,0,27,1
31,77,8,3,3,405610,5268,50000,-19170,8604,69170,1013386,13161,43641,1,13853,43640,10,45,6,6,39,5,3,5,2,20,3,31,28,19,10,22,12,126,64,152,88,3,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,14,4,23,19,35,1,59,58,867,297,1385,1088,29,84,12,4,4,435320,5183,20000,100,5352,19900,1826252,21742,58069,101,15588,57968,12,33,6,7,27,5,3,5,2,19,1,31,30,20,10,22,12,129,64,152,88,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,8,20,12,29,0,57,57,845,484,1248,764,2019,8,10,101,1,45,1
9,56,6,3,5,78378,1400,32000,3,4786,31997,205990,3679,12292,1850,1737,10443,17,45,0,11,45,5,3,5,2,16,2,31,29,18,10,22,12,119,62,152,90,4,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,16,9,23,14,24,0,57,57,943,540,1392,852,4,6,4,4,4,79355,13226,32000,19,12500,31982,98163,16361,35919,3765,12382,32155,8,12,0,5,12,5,3,5,2,16,10,24,14,18,11,21,10,122,70,145,75,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,11,9,11,2,21,0,51,51,631,540,711,171,2013,12,24,17,0,28,0
20,73,10,7,10,116241,1593,49000,-1,6219,49001,62309,854,19503,0,2505,19503,19,45,0,12,45,4,3,4,1,15,1,30,29,14,9,18,9,89,61,121,60,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,35,1,59,58,832,34,1424,1390,10,25,9,4,4,114994,4600,30000,20,8062,29980,179758,7191,68503,67,15921,68436,15,33,9,11,24,4,3,4,1,18,5,27,22,15,10,18,8,99,67,118,51,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,14,0,20,20,31,1,53,52,861,26,1212,1186,2019,3,3,53,0,27,1
18,85,8,6,7,48396,570,4175,-500,788,4675,173681,2044,10396,0,2666,10396,15,30,0,7,30,5,3,5,2,15,4,29,25,17,10,21,11,110,64,144,80,3,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,12,0,23,23,29,0,59,59,747,3,1408,1405,8,21,5,3,4,48389,2305,10000,1,2750,10000,56341,2683,10696,41,2934,10656,24,33,6,13,27,5,3,5,2,17,11,30,19,17,11,22,11,113,75,151,76,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,15,1,23,22,31,1,58,57,876,92,1385,1293,2016,6,13,240,0,51,0
8,14,4,3,3,17026,1217,5400,1,1579,5399,17305,1237,3454,51,988,3404,22,45,9,13,36,5,3,5,2,18,3,29,26,17,10,22,12,111,63,150,87,3,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,14,3,21,18,29,4,56,52,843,185,1297,1112,3,85,2,2,2,17342,205,3974,4,466,3970,188415,2217,5452,221,1223,5231,28,28,12,2,16,4,3,5,2,17,1,31,30,16,9,22,13,107,61,152,91,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,7,6,16,10,52,0,59,59,424,408,997,589,2018,2,25,31,1,25,0
28,160,5,3,3,19130,120,4001,1,512,4000,164820,1031,3121,7,593,3115,19,45,12,9,33,4,3,5,2,16,1,31,30,16,9,22,13,104,61,151,90,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,28,0,59,59,865,5,1403,1398,4,8,4,3,3,18241,2281,6781,14,3124,6768,24655,3082,7122,521,2660,6601,31,45,0,16,45,4,3,5,2,17,3,29,26,16,10,22,12,104,63,150,87,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,1,23,22,28,1,54,53,740,81,1406,1325,2018,8,17,66,1,26,0
39,201,9,4,7,323604,1610,28000,1,3795,27999,1248835,6214,55354,0,10130,55354,17,45,0,14,45,5,3,5,2,20,1,31,30,18,10,22,12,116,62,152,90,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,31,0,59,59,866,31,1427,1396,10,34,10,4,5,329900,9703,57200,50,12109,57150,365535,10752,57312,149,12308,57164,28,73,9,19,64,5,3,5,2,20,7,31,24,18,10,22,12,119,67,152,85,4,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,13,0,21,21,33,4,59,55,781,32,1282,1250,2015,1,11,83,0,40,0
25,198,10,3,6,856153,4325,168000,5,15424,167995,834018,4213,35813,53,3590,35760,12,39,0,5,39,4,3,5,2,16,1,31,30,16,10,22,12,101,63,150,87,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,2,23,21,30,0,59,59,819,129,1392,1263,7,61,6,3,3,854833,14014,168000,12,25024,167988,1147377,18810,173790,1858,25871,171932,23,30,9,7,21,4,3,5,2,17,1,31,30,16,10,22,12,104,63,150,87,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,15,0,22,22,28,0,59,59,881,43,1379,1336,2016,7,26,176,0,37,0
11,33,7,4,5,61557,1866,49500,1,8569,49499,43425,1316,3862,3,1199,3860,17,45,0,10,45,4,3,4,1,18,5,31,26,14,10,17,7,87,65,116,51,3,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,16,0,22,22,25,3,57,54,934,8,1344,1336,4,9,4,3,3,61544,6839,49500,1,16093,49499,63773,7086,49536,4,16016,49532,29,42,0,15,42,4,3,4,1,16,1,28,27,14,10,18,8,89,64,119,55,2,1,4,3,0,0,0,0,1,0,1,1,0,0,0,0,14,7,21,14,23,4,47,43,823,435,1264,829,2016,4,22,44,0,38,1
